S.NO,ZONE ,DISTRICT,CLUSTER,SCHOOL NAME ,BOARD,STUDENT STRENGTH,PRIORITY,CORRESPONDENT/ PRINCIPAL,MOBILE NUMBERS,AREA,Procurement Month ,Lead Status,Last Visit,Next Follow-Up,Assigned Canvasser,Expected Order Value,Remarks
,,,,Sri Vijay Vidyalaya Matric Higher Secondary School,Matriculation,,,,,Dharmapuri Main Road,,,,,,,
,,,,Muthumariamman Matriculation Higher Secondary School,Matriculation,,,,,Mettur Main Road,,,,,,,
,,,,Adharsh Vidyalaya Matric Higher Secondary School,Matriculation,,,,,Omalur Rural Area,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Omalur Center,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Tholasampatti Road,,,,,,,
,,,,Little Angels Play School,Play / Primary,,,,,Omalur Town,,,,,,,
,,,,Deam International School,CBSE,,,,,Mettur Highway Link,,,,,,,
,,,,Vidhyaaa Vikaas International School Link,CBSE,,,,,Kariampatti Link,,,,,,,
,,,,Sri Seshaas International Public School Link,CBSE,,,,,Yercaud Foothills Link,,,,,,,
,,,Sankagiri Block,St. Johns Matriculation Higher Secondary School,Matriculation,,,,,Bhavani Main Road,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Sankagiri Town,,,,,,,
,,,,Vivekananda Nursery & Primary School,Matric (N&P),,,,,Sankagiri Rural,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Vellanur Road Link,,,,,,,
,,,,Little Stars School,Play / Primary,,,,,Sankagiri Center,,,,,,,
,,,,Vivekanandha Matriculation Higher Secondary School Link,Matriculation,,,,,Tiruchengode Road Link,,,,,,,
,,,,Suryabala International School Link,CBSE,,,,,Sathy Main Road Link,,,,,,,
,,,,Ideal Higher Secondary School Link,Matriculation,,,,,Kanthampalayam Link,,,,,,,
,,,,Vidhyaalayam Public School Link,CBSE,,,,,Mettur Main Road Link,,,,,,,
,,,,Bhavan's Vidya Mandir Link,CBSE,,,,,Kalingarayanpalayam Link,,,,,,,
,,,Veerapandi Block,Sivakasi Hindu Nadar Matric Higher Secondary School Link,Matriculation,,,,,Mallur,,,,,,,
,,,,Sri Ramakrishna Matriculation School,Matriculation,,,,,Veerapandi Town,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Veerapandi Center,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Attayampatti Road,,,,,,,
,,,,Little Angels Play School,Play / Primary,,,,,Veerapandi Town,,,,,,,
,,,,Salem Golden Gates Trichy Road Campus Link,Matriculation,,,,,Trichy Main Road Link,,,,,,,
,,,,St. Johns Matriculation Higher Secondary School Link,Matriculation,,,,,Bhavani Main Road Link,,,,,,,
,,,,Vivekanandha Matriculation Higher Secondary School Link,Matriculation,,,,,Tiruchengode Road Link,,,,,,,
,,,,Holy Cross Matriculation Higher Secondary School Link,Matriculation,,,,,Ammapet Road Link,,,,,,,
,,,,Sona Valliappa Public School Link,CBSE,,,,,Junction Main Road Link,,,,,,,
,,,Edappadi Town,Sri Vijay Vidyalaya Matric Higher Secondary School,Matriculation,,,,,Sankagiri Main Road,,,,,,,
,,,,Amala Matriculation Higher Secondary School,Matriculation,,,,,Poolampatti Road,,,,,,,
,,,,Deam International School (Extension Campus),CBSE,,,,,Edappadi Town,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Edappadi Rural Area,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Koneripatti,,,,,,,
,,,,Little Angels Play School,Play / Primary,,,,,Edappadi Center,,,,,,,
,,,,St. Johns Matriculation Higher Secondary School Link,Matriculation,,,,,Bhavani Main Road Link,,,,,,,
,,,,Adharsh Vidhyalaya Matric Higher Secondary School Link,Matriculation,,,,,Paruvachi Road Link,,,,,,,
,,,,Vidhyaalayam Public School Link,CBSE,,,,,Mettur Main Road Link,,,,,,,
,,,,J.K.K. Nataraja Matriculation Higher Secondary School Link,Matriculation,,,,,Komarapalayam Bypass Link,,,,,,,
,,,Mettur & kolathur Block,Malco Vidhyalaya Matriculation Higher Secondary School,Matriculation,,,,,Veerakkalpudur,,,,,,,
,,,,Montfort Matric. Higher Secondary School,Matriculation,,,,,Kolathur Town,,,,,,,
,,,,Apple Perks International School,CBSE,,,,,"SVV Nagar, Thanda",,,,,,,
,,,,SE Academy,Matric / Primary,,,,,Chinnamettur,,,,,,,
,,,,J.B. Matriculation Higher Secondary School,Matriculation,,,,,Kolathur Town,,,,,,,
,,,,Holy Angels Matriculation Higher Secondary School,Matriculation,,,,,China Park,,,,,,,
,,,,MAM Matriculation Higher Secondary School,Matriculation,,,,,Madhaiyankuttai,,,,,,,
,,,,Sri Ramakrishna Vidhyalaya Matriculation School,Matriculation,,,,,Thanda Main Road,,,,,,,
,,,,Vaideshwara Vidyamandir Matriculation School,Matriculation,,,,,Mettur Post,,,,,,,
,,,,Jems School,CBSE / Matric,,,,,Savadiyur Kandanoor,,,,,,,
,,,,Nirmala Higher Secondary School (Private Wing),Matriculation,,,,,Kolathur Center,,,,,,,
,,,,SRV Educational Institutions (School Wing),Matric / CBSE,,,,,Pottaneri,,,,,,,
,,,,Kidspark Public School,Matric (N&P),,,,,Kolathur Area,,,,,,,
,,,,Sri Saraswathi Vidhyalaya School,Matric (N&P),,,,,Kolathur Rural,,,,,,,
,,,,Tiny Titans Kindergarten School,Play / Primary,,,,,Kolathur Town,,,,,,,
,,,"Nangavalli Nangavalli, Mecheri
 & yercaud (Hill area) Block",Isha Vidhya Ramaniyam Matriculation Hr. Sec. School,Matriculation,,,,,Vanavasi Post,,,,,,,
,,,,Genius Academy (Zion School Campus),CBSE,,,,,Attavanai Street,,,,,,,
,,,,Sri Jothi Higher Secondary School Link,Matriculation,,,,,Tharamangalam Rd Link,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Nangavalli Town,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Nangavalli Region,,,,,,,
,,,,Meenampark Matriculation Higher Secondary School,Matriculation,,,,,"Parktown, M.Kalipatti",,,,,,,
,,,,Sri Raghavendra Matric Higher Secondary School,Matriculation,,,,,Thoppur-Mettur Road,,,,,,,
,,,,Malco Vidyalaya Matriculation Higher Secondary School,Matriculation,,,,,Mecheri Town,,,,,,,
,,,,SSV Public School (Kuttapatti Campus),CBSE,,,,,Kuttapatti Area,,,,,,,
,,,,Paraikallur Private Nursery & Primary Wing,Matric (N&P),,,,,Paraikallur Cluster,,,,,,,
,,,,Sacred Heart School (CBSE Wing),CBSE,,,,,Convent Road Link,,,,,,,
,,,,Montfort School-ICSE / Anglo Indian,ICSE / ISC,,,,,Hill Church Road,,,,,,,
,,,,Shevaroys Valley Boarding School,CBSE,,,,,Vazhavandhi Hills,,,,,,,
,,,,St. Charles Residential School,CBSE,,,,,Kuppanur Ghat Road,,,,,,,
,,,,Central Learning Campus Residential Wing,CBSE / Matric,,,,,Vazhavandhi Area,,,,,,,
,,,Ayothiapattinam Block,Thangam World School,CBSE,,,,,New Attur Bye-Pass,,,,,,,
,,,,Vikas Vidyalaya Matric Higher Secondary School,Matriculation,,,,,Ayothiyapattinam Town,,,,,,,
,,,,Sri Ramakrishna Nursery & Primary School,Matric (N&P),,,,,Ayothiapattinam Region,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Masinaickenpatti,,,,,,,
,,,,Little Angels Play School,Play / Primary,,,,,Ayothiyapattinam Town,,,,,,,
,,,,Sri Ramakrishna Matriculation Higher Secondary School Link,Matriculation,,,,,Valapady Link,,,,,,,
,,,,Salem Golden Gates Trichy Road Campus Link,Matriculation,,,,,Trichy Main Road Link,,,,,,,
,,,,Golden Gates Girls Matriculation Higher Secondary School Link,Matriculation,,,,,Yercaud Main Road Link,,,,,,,
,,,,Emerald Valley Public School Link,CBSE,,,,,Yercaud Foothills Link,,,,,,,
,,,,Sacred Heart School Link,CBSE,,,,,Yercaud Hills Link,,,,,,,
,,,Valapady Block,Sri Ramakrishna Matriculation Higher Secondary School,Matriculation,,,,,Valapady Town,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Valapady Center,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Belur Road,,,,,,,
,,,,Vivekananda Nursery & Primary School,Matric (N&P),,,,,Valapady Rural,,,,,,,
,,,,Little Angels Play School,Play / Primary,,,,,Valapady Town,,,,,,,
,,,,Thangam World School Link,CBSE,,,,,New Attur Bye-Pass Link,,,,,,,
,,,,Velammal Bodhi Campus Attur Link,CBSE,,,,,Deviyakurichi Link,,,,,,,
,,,,Bharathiyar Matric Higher Secondary School Link,Matriculation,,,,,Attur Town Link,,,,,,,
,,,,Sri Ramakrishna Matriculation Higher Secondary School Link,Matriculation,,,,,Pethanaickenpalayam Link,,,,,,,
,,,,Salem Golden Gates Trichy Road Campus Link,Matriculation,,,,,Trichy Main Road Link,,,,,,,
,,,Kadayampatti Block,Sri Vijay Vidyalaya Matric Higher Secondary School,Matriculation,,,,,Kadayampatti Town,,,,,,,
,,,,Sri Ramakrishna Matriculation School,Matriculation,,,,,Kadayampatti Center,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Kadayampatti Town,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Kadayampatti Region,,,,,,,
,,,,Little Stars School,Play / Primary,,,,,Kadayampatti Town,,,,,,,
,,,,Saranathan Academy CBSE School Link,CBSE,,,,,Omalur Town Link,,,,,,,
,,,,Muthumariamman Matriculation Higher Secondary School Link,Matriculation,,,,,Mettur Main Road Link,,,,,,,
,,,,Sri Raghavendra Matric Higher Secondary School Link,Matriculation,,,,,Thoppur-Mettur Road Link,,,,,,,
,,,,SSV Public School Link,CBSE,,,,,Kuttapatti Area Link,,,,,,,
,,,,Sri Vijay Vidyalaya Senior Secondary School Link,CBSE,,,,,Dharmapuri Main Road Link,,,,,,,
,,,Pethanaickenpalayam Block,Sri Ramakrishna Matriculation Higher Secondary School,Matriculation,,,,,Pethanaickenpalayam Town,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Pethanaickenpalayam Center,,,,,,,
,,,,Vivekananda Nursery & Primary School,Matric (N&P),,,,,Pethanaickenpalayam Rural Area,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Yercaud Foothills Road Link,,,,,,,
,,,,Little Angels Play School,Play / Primary,,,,,Pethanaickenpalayam Town,,,,,,,
,,,,Velammal Bodhi Campus Attur Link,CBSE,,,,,Deviyakurichi Link,,,,,,,
,,,,Bharathiyar Matric Higher Secondary School Link,Matriculation,,,,,Attur Town Link,,,,,,,
,,,,Tagore Matriculation Higher Secondary School Link,Matriculation,,,,,Deviyakurichi Link,,,,,,,
,,,,Kamarajar Matriculation Higher Secondary School Link,Matriculation,,,,,Thedavur Road Link,,,,,,,
,,,,Thangam World School Link,CBSE,,,,,New Attur Bye-Pass Link,,,,,,,
,,,Gangavalli Block,Kamarajar Matriculation Higher Secondary School,Matriculation,,,,,Thedavur Road,,,,,,,
,,,,Kamarajar Public School,CBSE,,,,,Thedavur Main Rd,,,,,,,
,,,,Sri Ramakrishna Nursery & Primary School,Matric (N&P),,,,,Gangavalli Town,,,,,,,
,,,,Vivekananda Nursery & Primary School,Matric (N&P),,,,,Gangavalli Rural Area,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Thammampatti Road,,,,,,,
,,,,Golden Gates Matriculation Higher Secondary School Link,Matriculation,,,,,Thammampatti Link,,,,,,,
,,,,Velammal Bodhi Campus Attur Link,CBSE,,,,,Deviyakurichi Link,,,,,,,
,,,,Bharathiyar Matric Higher Secondary School Link,Matriculation,,,,,Attur Town Link,,,,,,,
,,,,Tagore Matriculation Higher Secondary School Link,Matriculation,,,,,Deviyakurichi Link,,,,,,,
,,,,Rasi Vidhyasaram CBSE School Link,CBSE,,,,,Eachampatti Link,,,,,,,
,,,Attur Block,Velammal Bodhi Campus Attur,CBSE,,,,,Deviyakurichi,,,,,,,
,,,,Bharathiyar Matric Higher Secondary School,Matriculation,,,,,Attur Town,,,,,,,
,,,,Bharathiyar Hi-Tech International School,CBSE,,,,,Attur Town Area,,,,,,,
,,,,Sri Venkateswara Matriculation Higher Secondary School,Matriculation,,,,,Thalaivasal Post,,,,,,,
,,,,Green Park School Attur,CBSE,,,,,Selliyampalayam,,,,,,,
,,,,Sri S.R.V Matric Hr sec School,Matriculation,,,,,Narasingapuram,,,,,,,
,,,,Tagore Matriculation Higher Secondary School,Matriculation,,,,,Deviyakurichi,,,,,,,
,,,,Akchara Bala Bhavan CBSE School,CBSE,,,,,Narasingapuram,,,,,,,
,,,,Saraswathi Matric Higher Secondary School,Matriculation,,,,,Ammampalayam,,,,,,,
,,,,Little Flower Matriculation School,Matriculation,,,,,Nathakkarai,,,,,,,
,,,,Star Kids Montessori School,International / Play,,,,,Gandhi Puram,,,,,,,
,,,,EuroKids Preschool in Attur,International / Play,,,,,Gandhi Nagar Road,,,,,,,
,,,,Rasi Vidhyasaram CBSE School,CBSE,,,,,Eachampatti,,,,,,,
,,,,Kamarajar Matric & Public School,Matric / CBSE,,,,,Thedavur Road Link,,,,,,,
,,,,Thangam World School,CBSE,,,,,New Attur Bye-Pass,,,,,,,
,,Namakkal,Kolli Hills Block,Hilldales Matriculation Higher Secondary School,Matriculation,,,,,"Vasalurpatti, Semmedu",,,,,,,
,,,,Hill Dale Nursery & Primary School,Matric (N&P),,,,,Semmedu Town,,,,,,,
,,,,Vethaloga Vidhyalaya Senior Secondary School,CBSE,,,,,Sendamangalam Rd Link,,,,,,,
,,,,Vetha Loga Vidhyalaya Matric Higher Sec School,Matriculation,,,,,Akkiampatty Link,,,,,,,
,,,,The Childplan Academy Senior Secondary CBSE School,CBSE,,,,,Sendhamangalam Road,,,,,,,
,,,,Kalaimagal Nursery & Primary School,Matric (N&P),,,,,Belukurichi Foothills,,,,,,,
,,,,Kalaimagal Matriculation Higher Secondary School,Matriculation,,,,,Belukurichi Region,,,,,,,
,,,,Bharathi Matriculation Higher Secondary School,Matriculation,,,,,Foothills Highway Link,,,,,,,
,,,,Saraswathi Matric Higher Secondary School,Matriculation,,,,,Rasipuram Border Link,,,,,,,
,,,,Velammal Bodhi Campus,CBSE,,,,,Tiruchengode Main Road,,,,,,,
,,,Paramathi Velur,Kandamy International School,CBSE,,,,,Velur Town,,,,,,,
,,,,R.N. Oxford International School,CBSE,,,,,Paramathy Road,,,,,,,
,,,,Sri Chaitanya Techno School (Velur Campus),CBSE,,,,,Velur Bypass,,,,,,,
,,,,Narayana E-Techno School,CBSE,,,,,Paramathi Road,,,,,,,
,,,,Vivekananda Matriculation Higher Secondary School,Matriculation,,,,,Velur Town Area,,,,,,,
,,,,SPK Matriculation Higher Secondary School,Matriculation,,,,,Paramathi Region,,,,,,,
,,,,Kongu Vellalar Matriculation Higher Secondary School,Matriculation,,,,,Velur Town Center,,,,,,,
,,,,K.S.R. Matriculation Higher Secondary School (Link Wing),Matriculation,,,,,Paramathi Rural,,,,,,,
,,,,Malco Vidyalaya Matriculation Higher Secondary School (Link Wing),Matriculation,,,,,Velur Outer Link,,,,,,,
,,,,Sri Vigneshwara Nursery & Primary School,Matric (N&P),,,,,Paramathi Town,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Velur Rural Link,,,,,,,
,,,,Vivekananda Nursery & Primary School,Matric (N&P),,,,,Paramathi Center,,,,,,,
,,,,Sri Ramakrishna Nursery & Primary School,Matric (N&P),,,,,Velur Town,,,,,,,
,,,,Little Angels Play School,Play / Primary,,,,,Velur Center,,,,,,,
,,,,Tiny Tots Pre-School,Play / Primary,,,,,Paramathi Area,,,,,,,
,,,,National Public School,CBSE,,,,,Velur Bypass Road,,,,,,,
,,,,Spectrum Life School (Extension Wing),CBSE,,,,,Paramathi Road Link,,,,,,,
,,,,Golden Gates Public School (Velur Link),CBSE,,,,,Velur Region,,,,,,,
,,,,Green Park International School (Velur Campus Link),CBSE,,,,,Paramathi Link Road,,,,,,,
,,,,Vidhya Niketan Public School Link,CBSE,,,,,Velur Town Outer,,,,,,,
,,,Tiruchengode Block,Vidyaa Vikas International School,CBSE,,,,,Varagurampatti,,,,,,,
,,,,K.S.R. Akshara Academy,CBSE,,,,,Thokkavadi,,,,,,,
,,,,Avvai K.S.R Matriculation School,Matriculation,,,,,CHB Colony,,,,,,,
,,,,G Global School,IB / International,,,,,Rajagoundampalayam,,,,,,,
,,,,Narayana eTechno School,CBSE,,,,,Kollapatti,,,,,,,
,,,,Sri Chaitanya School,CBSE,,,,,Rajagoundampalayam,,,,,,,
,,,,Vriksha Global School,CBSE / International,,,,,Weavers Colony,,,,,,,
,,,,The Meridian International School,CBSE / International,,,,,Chinnathambipalayam,,,,,,,
,,,,SPK Gems School,CBSE,,,,,Kadachanallur,,,,,,,
,,,,Barani International School,CBSE,,,,,Tiruchengode Town,,,,,,,
,,,,Valaraigate Vidyalayam (V-School),CBSE,,,,,Thondikaradu,,,,,,,
,,,,Vidyaa Vikas Boys Higher Secondary School,Matriculation,,,,,Emapalli,,,,,,,
,,,,Vidyaa Vikas Girls Higher Secondary School,Matric / CBSE,,,,,Emapalli,,,,,,,
,,,,Revathi Central School,CBSE,,,,,Seetharampalayam,,,,,,,
,,,,Vivekananda Vidya Bhavan Matric Higher Secondary School,Matriculation,,,,,Namakkal Main Road,,,,,,,
,,,,Sengunthar Matriculation Higher Secondary School,Matriculation,,,,,Tiruchengode Rural,,,,,,,
,,,,Reliance Matric Higher Secondary School,Matriculation,,,,,Tiruchengode Center,,,,,,,
,,,,Vishnu Vidhyalaya Matriculation School,Matriculation,,,,,Seetharampalayam,,,,,,,
,,,,New Oxford Matric School,Matriculation,,,,,Karattupalayam,,,,,,,
,,,,Little Wonders Kindergarten,Play / Primary,,,,,CHB Colony,,,,,,,
,,,Rasipuram Block,Vidyaa Vikas International School,CBSE,,,,,Tiruchengode Road,,,,,,,
,,,,Vidyaa Vikaas Matriculation Higher Secondary School,Matriculation,,,,,"V.V. Nagar, Attur Rd",,,,,,,
,,,,Sri Chaitanya Techno School,CBSE,,,,,Salem Main Road,,,,,,,
,,,,Green Park International School (Rasipuram Campus Link),CBSE,,,,,Rasipuram Town Area,,,,,,,
,,,,Kurinji Senior Secondary School,CBSE,,,,,Rasipuram Rural,,,,,,,
,,,,Muthayammal Memorial Higher Secondary School (Private Wing),Matriculation,,,,,Kakavari Post,,,,,,,
,,,,S.R.V. Educational Institutions (Rasipuram Link Campus),Matric / CBSE,,,,,Rasipuram Center,,,,,,,
,,,,Sowdambikaa Matriculation Higher Secondary School,Matriculation,,,,,Rasipuram Town,,,,,,,
,,,,A.K.V. Public School,CBSE,,,,,Mallasamudram Rd,,,,,,,
,,,,A.K.V. Matric Higher Secondary School,Matriculation,,,,,"Salem Highway, Annaikattu",,,,,,,
,,,,Paavai Vidhyashram Senior Secondary School,CBSE,,,,,"Paavai Nagar, NH-44",,,,,,,
,,,,Golden Gates Public School (Rasipuram Link),CBSE,,,,,Rasipuram Region,,,,,,,
,,,,Sri Ramakrishna Nursery & Primary School,Matric (N&P),,,,,Rasipuram Rural,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,Attur Main Road,,,,,,,
,,,,Little Angels Play School,Play / Primary,,,,,Rasipuram Town Center,,,,,,,
,,,,National Public School,CBSE,,,,,Rasipuram Bazaar,,,,,,,
,,,,Saraswathi Nursery & Primary School,Matric (N&P),,,,,Rasipuram Block Area,,,,,,,
,,,,Spectrum Life School (Extension Wing),CBSE,,,,,Tiruchengode Road Link,,,,,,,
,,,,Tiny Tots Pre-School,Play / Primary,,,,,Rasipuram Rural Area,,,,,,,
,,,,Vivekananda Nursery & Primary School,Matric (N&P),,,,,Rasipuram Center,,,,,,,
,,,Namakkal Block,Green Park International School,CBSE,,,,,Bodupatti,,,,,,,
,,,,Green Park Matriculation Higher Secondary School,Matriculation,,,,,Nallipalayam,,,,,,,
,,,,The Navodaya Academy Senior Secondary School,CBSE,,,,,Namakkal Fort,,,,,,,
,,,,Vethaloga Vidhyalaya (CBSE & Matric Link),CBSE / Matric,,,,,Sendamangalam Rd,,,,,,,
,,,,Kurinji Matric Higher Secondary School,Matriculation,,,,,Kavettipatty,,,,,,,
,,,,Narayana E-Techno School (Senior Secondary),CBSE,,,,,Tiruchengodu Road,,,,,,,
,,,,SAMSIDH SVBM Senior Secondary School,CBSE,,,,,Namakkal Bazaar,,,,,,,
,,,,Park Public School,CBSE,,,,,Periyapatti,,,,,,,
,,,,Spectrum Life School,CBSE,,,,,Namakkal Fort,,,,,,,
,,,,SRV Excel Matriculation Higher Secondary School,Matriculation,,,,,Mohanur Road,,,,,,,
,,,,SRV Hi-Tech Girls Higher Secondary School,Matriculation,,,,,Namakkal Region,,,,,,,
,,,,Bharathi Academy,CBSE,,,,,Reddipatti,,,,,,,
,,,,Chandra Chellappan International School,CBSE / International,,,,,Thalambadi,,,,,,,
,,,,Malar Matric Higher Secondary School,Matriculation,,,,,Namakkal Center,,,,,,,
,,,,Children's Park Nursery & Primary School,Matric (N&P),,,,,Namakkal Block,,,,,,,
,,,,Selvam Matric School,Matriculation,,,,,Namakkal Fort,,,,,,,
,,,,National Public School,CBSE,,,,,Namakkal Bazaar,,,,,,,
,,,,OHAA School IGCSE,IGCSE / CIE,,,,,Namakkal Fort,,,,,,,
,,,,Dhorna Nursery & Primary School,Matric (N&P),,,,,Namakkal Area,,,,,,,
,,,,Dr. MSU Murthy School of Excellence,CBSE,,,,,Paramathy Main Rd,,,,,,,
,,Dharmapuri,Dharmapuri Town,Sri Vijay Vidyalaya Matric Higher Secondary School,Matriculation,,,,,Pennagaram Road,,,,,,,
,,,,Sri Vijay Vidyashram Senior Secondary School,CBSE,,,,,Salai Vinayagar St,,,,,,,
,,,,The Vijay Millennium Senior Secondary School,CBSE,,,,,Pennagaram Main Rd,,,,,,,
,,,,Dawn Shikshalaya Public School,CBSE,,,,,Salai Vinayagar Kovil Street,,,,,,,
,,,,The Dawn Matriculation Higher Secondary School,Matriculation,,,,,Salai Vinayagar Koil Street,,,,,,,
,,,,SASSI Gnanodaya Academy CBSE,CBSE,,,,,Krishnagiri Main Road,,,,,,,
,,,,Pachamuthu Matric Higher Secondary School,Matriculation,,,,,Salem Main Road,,,,,,,
,,,,DNV International Academy,IGCSE / CIE,,,,,Near ASTC Nagar,,,,,,,
,,,,Little Scholars Pre School,Play / Primary,,,,,Kumarasamypet,,,,,,,
,,,,Seventh Day Adventist Matric Higher Secondary School,Matriculation,,,,,Opposite Collectorate,,,,,,,
,,,,Senthil Matric Higher Secondary School,Matriculation,,,,,Narasimmachari St,,,,,,,
,,,,Senthil Public School,CBSE,,,,,Adhiyamankottai Rd,,,,,,,
,,,,Kamalam International School,CBSE,,,,,Dharmapuri Bazaar,,,,,,,
,,,,Indian Matriculation Higher Secondary School,Matriculation,,,,,Dharmapuri Center,,,,,,,
,,,,Indian Public School,CBSE,,,,,Dharmapuri Region,,,,,,,
,,,,Sivam International School,CBSE,,,,,Pennagaram Main Road,,,,,,,
,,,,Great Valley International School,CBSE,,,,,Dharmapuri Outer,,,,,,,
,,,,Taruwin Vidhya Mandir Universal Model School,CBSE,,,,,Dharmapuri Ho,,,,,,,
,,,,Cambridge Public E School,CBSE,,,,,Dharmapuri Area,,,,,,,
,,,,Velankanni Public School,CBSE,,,,,Dharmapuri Town,,,,,,,
,,,V.G. Palayam Cluster,Vidhya Dham CBSE School,CBSE,,,,,V.G. Palayam Town,,,,,,,
,,,,Vidhya Dham Matriculation Higher Secondary School,Matriculation,,,,,V.G. Palayam Town,,,,,,,
,,,,Siva Matriculation School,Matriculation,,,,,V.G. Palayam Rural,,,,,,,
,,,,Sri Vijay Vidyalaya Matric Higher Secondary School Link,Matriculation,,,,,Pennagaram Road Link,,,,,,,
,,,,The Vijay Millennium Senior Secondary School Link,CBSE,,,,,Pennagaram Main Rd Link,,,,,,,
,,,,Senthil Public School Link,CBSE,,,,,Adhiyamankottai Link,,,,,,,
,,,,Sri Ramakrishna Nursery & Primary School,Matric (N&P),,,,,V.G. Palayam Area,,,,,,,
,,,,K.A.M.S. Nursery and Primary School,Matric (N&P),,,,,V.G. Palayam Center,,,,,,,
,,,,Sri Vijay Vidyashram Senior Secondary School Link,CBSE,,,,,Nallampalli Link Road,,,,,,,
,,,,Kamalam International School Link,CBSE,,,,,Dharmapuri Outer Link,,,,,,,
,,,Ungaranahalli Cluster,Sree Sivanivel Vidyalaya High School,Matriculation,,,,,Ungaranahalli Town,,,,,,,
,,,,Sree Sivanivel Vidhyalaya Matriculation School,Matriculation,,,,,Ungaranahalli Village,,,,,,,
,,,,New Horizon Seniors Academy Matric Higher Secondary School,Matriculation,,,,,"Chettiyur, A.Jettihalli",,,,,,,
,,,,Sri Viswabharathi Matriculation Higher Secondary School,Matriculation,,,,,"A.Gollahalli, Annasagaram",,,,,,,
,,,,Pachamuthu Matriculation Higher Secondary School,Matriculation,,,,,Annasagaram,,,,,,,
,,,,Sri Siddhi Vinayaga Matric School,Matriculation,,,,,Ungaranahalli Area,,,,,,,
,,,,Sri Amman Nursery & Primary School,Matric (N&P),,,,,Ungaranahalli Region,,,,,,,
,,,,Chandhini Nursery And Primary School,Matric (N&P),,,,,Ungaranahalli Town,,,,,,,
,,,,Yeshua International School ICSE,ICSE / ISC,,,,,"Senthil Nagar, Virupakshipuram",,,,,,,
,,,,Chutty Kidz International Dream School,Play / Primary,,,,,"Kumarapuri, Bharathipuram",,,,,,,
,,,,The Vijay Millennium Senior Secondary School,CBSE,,,,,"Pennagaram Main Road, Sogathur",,,,,,,
,,,,Senthil Public School (CBSE),CBSE,,,,,Old Hosur-Adhiyamankottai Road,,,,,,,
,,,,The Dawn Matriculation Higher Secondary School,Matriculation,,,,,Salai Vinayagar Koil Street,,,,,,,
,,,,Dawn Shikshalaya Public School (CBSE),CBSE,,,,,Salai Vinayagar Kovil Street,,,,,,,
,,,,Kamalam International CBSE School,CBSE,,,,,"Naduhalli, Kadagathur",,,,,,,
,,,Lakkiyampatti Cluster,Yeshua International School ICSE,ICSE / ISC,,,,,"Senthil Nagar, Virupakshipuram",,,,,,,
,,,,Jack and Jill Matriculation School,Matriculation,,,,,Bharathi Puram,,,,,,,
,,,,Sri Vidhya Mandir Matric Higher Secondary School,Matriculation,,,,,"Water Tank Road, Collectorate",,,,,,,
,,,,Sri Viswabharathi Matriculation Higher Secondary School,Matriculation,,,,,"A.Gollahalli, Annasagaram",,,,,,,
,,,,Sri Siddhi Vinayaka Matriculation School,Matriculation,,,,,Elakkiampatti Region,,,,,,,
,,,,Chandhini Nursery And Primary School,Matric (N&P),,,,,Lakkiyampatti Town,,,,,,,
,,,,Chutty Kidz International Pre School,Play / Primary,,,,,"Kumarapuri, Bharathipuram",,,,,,,
,,,,Little Ville Preschool,Play / Primary,,,,,Elakkiampatti Center,,,,,,,
,,,,The Vijay Millennium Senior Secondary School,CBSE,,,,,"Pennagaram Main Road, Sogathur",,,,,,,
,,,,Senthil Public School (CBSE),CBSE,,,,,Old Hosur-Adhiyamankottai Road,,,,,,,
,,,,Great Valley International School,CBSE,,,,,"Poosaripatti, Kadagathur",,,,,,,
,,,,Sassi Gnanodaya Academy CBSE,CBSE,,,,,"Krishnagiri Main Road, Souloor",,,,,,,
